scope,market_regime,direction,amount_tag,flow_category,dart_tag,window_category,event_count,usable_event_count,company_count,dominant_followup,dominant_count,dominant_rate,external_review_count,leading_signal_count,hypothesis_pass,leading_share
국면별,변동성 장세,up,거래대금약함,수급엇갈림,주변공시부재,선반영,10,10,9,상승지속,8,0.8,10,10,True,1.0
국면별,변동성 장세,down,거래대금약함,외국인기관동반매도,주변공시부재,직접반응,16,14,12,하락후반등,11,0.7857142857142857,0,15,True,0.9375
국면별,유동성/저금리 후반장,up,거래대금급증,외국인기관동반매도,DART공시동반,직접반응,15,15,11,상승실패,11,0.7333333333333333,13,15,True,1.0
국면별,금리 인상/긴축장,up,거래대금급증,외국인기관동반매도,DART공시동반,직접반응,31,28,17,상승실패,20,0.7142857142857143,28,31,True,1.0
국면별,변동성 장세,up,거래대금약함,외국인기관동반매수,주변공시부재,직접반응,15,14,10,상승지속,10,0.7142857142857143,0,15,True,1.0
국면별,변동성 장세,up,거래대금약함,외국인기관동반매수,DART공시동반,직접반응,33,32,20,상승지속,22,0.6875,0,33,True,1.0
국면별,AI/전력기기 테마장,down,거래대금약함,외국인기관동반매수,주변공시부재,선반영,21,21,10,하락후반등,14,0.6666666666666666,17,21,True,1.0
국면별,변동성 장세,down,거래대금약함,외국인기관동반매수,DART공시동반,직접반응,30,29,23,하락후반등,19,0.6551724137931034,29,30,True,1.0
국면별,AI/전력기기 테마장,up,거래대금급증,외국인기관동반매도,DART공시동반,직접반응,42,40,26,상승실패,26,0.65,36,42,True,1.0
전체,전체,down,거래대금평균상회,외국인기관동반매수,주변공시부재,선반영,11,11,9,하락후반등,8,0.7272727272727273,11,11,True,1.0
전체,전체,up,거래대금평균상회,외국인기관동반매도,주변공시부재,직접반응,28,28,16,상승실패,19,0.6785714285714286,26,28,True,1.0
